g6,n,edges,alpha,theta,gap,ratio,status
U??hoOWD@@_Y@HKOGQYHIaBQ`oA_C[APfwA?pq??,22,65,6,8.1897893612,2.1897893612,1.3649648935,Solved
U@??AA@OcOHSbCIKBE@ESCoocKgiwEGB`Ug?jo??,22,64,6,8.1876592389,2.1876592389,1.3646098731,Solved
U?KoGSOGG??@REbHSTAahWXAQWITGCIoD`H?c`_G,22,65,6,8.1815894003,2.1815894003,1.3635982334,Solved
U?KoGSOGG??@REbHSTAahWXAQWITGCIoDaH?cP_G,22,65,6,8.1802856551,2.1802856551,1.3633809425,Solved
U?KoGSOGG??@REbHSTAahWXAQWISgCJOD`H?c`_G,22,65,6,8.1801739734,2.1801739734,1.3633623289,Solved
U?KoGSOGG??@REbHSTAahWXAQWISgCJODaH?cP_G,22,65,6,8.1781328588,2.1781328588,1.3630221431,Solved
UsaC?GAA@OCQPEEHaWQEQHKLPk@b_AWHCUW?YW?G,22,66,6,8.1730598763,2.1730598763,1.3621766460,Solved
U@GX@?GCGI?OUPgJPBcIgSiDF_bGGASaAAYAcW?o,22,65,6,8.1694320271,2.1694320271,1.3615720045,Solved
U?Kp?OOGGI?O[PaJOic_wPwDIgaWGAcaAAYAgW?o,22,65,6,8.1690883008,2.1690883008,1.3615147168,Solved
U???GOWH@CAGn?O{hBbHGTQ@y?CHWKSgQPWOgwG?,22,65,6,8.1641003043,2.1641003043,1.3606833840,Solved
UsaC?CCA@OCaChEPGTHa`GkPDYAbWAWCoUW?YW?G,22,66,6,8.1466084775,2.1466084775,1.3577680796,Solved
UsaCB@AQAGI?HGIABGOKJCcoa[``o_U[?LcGD[O?,22,66,6,8.0995908597,2.0995908597,1.3499318100,Solved
UsaCAHAQA_K?GcC`@`XHaDH_Xa@QQOKwGJKOK[G?,22,66,6,8.0960920800,2.0960920800,1.3493486800,Solved
