g6,edges,alpha,theta,gap,ratio,theta_ub,status
M?AADBOF@S\?TODp?,26,5,5.9396780842,0.9396780842,1.1879356168,6.01821387,Solved
M?AA@AW[?uDoN_sP?,27,5,5.9396757466,0.9396757466,1.1879351493,6.02809734,Solved
M?AAD?WkAY@wXG^??,26,5,5.9396250288,0.9396250288,1.1879250058,6.00465633,Solved
M?AAD?cuF_IgAwUW?,27,5,5.9396212950,0.9396212950,1.1879242590,6.00790415,Solved
M?AAD?oLAoFoBwQ[?,27,5,5.9396182653,0.9396182653,1.1879236531,6.00122845,Solved
M?AAD@OXDcFOAwJg?,26,5,5.9396104024,0.9396104024,1.1879220805,6.01173538,Solved
M?AAD?WHM_@wL_m_?,25,5,5.9395926427,0.9395926427,1.1879185285,6.01386356,Solved
M?AADBOQPoCoVOkc?,26,5,5.9395880034,0.9395880034,1.1879176007,6.04408126,Solved
M?AADBOF@cHgm_Bw?,27,5,5.9395703242,0.9395703242,1.1879140648,6.04728671,Solved
M?AA@aHw?k`w]?\??,26,5,5.9395677014,0.9395677014,1.1879135403,6.01415082,Solved
M?AA@aHw@o@oTGi__,25,5,5.9395528519,0.9395528519,1.1879105704,6.02614569,Solved
M?AA@BOJLoTOROuO?,27,5,5.9395483584,0.9395483584,1.1879096717,6.00475518,Solved
M?AA@AWVBgEoaoqP?,27,5,5.9395052053,0.9395052053,1.1879010411,6.02845556,Solved
M?AA@_gsAWCqe_cg?,24,5,5.9395046049,0.9395046049,1.1879009210,6.00707134,Solved
M?AAD@OM?ZJGi_Hh?,26,5,5.9395020119,0.9395020119,1.1879004024,6.02357486,Solved
M?AA@BOJBoEoqOBw?,26,5,5.9394994560,0.9394994560,1.1878998912,6.00682717,Solved
M?AAD@oI_w@[y?VO?,26,5,5.9394569388,0.9394569388,1.1878913878,6.01899271,Solved
M?AAF@SI_]J_ggm_?,28,5,5.9394510578,0.9394510578,1.1878902116,6.03314915,Solved
M?AADBOJ@LFOu?VO?,27,5,5.9394416899,0.9394416899,1.1878883380,6.03402923,Solved
M?AA@AWT@SjGZ?as?,26,5,5.9394348654,0.9394348654,1.1878869731,6.01346188,Solved
M?AADAoFFOHKM_Bw?,27,5,5.9394348645,0.9394348645,1.1878869729,6.01550150,Solved
M?AADBOY@KB_BwUQ?,26,5,5.9394348624,0.9394348624,1.1878869725,6.02229787,Solved
M?AA@aHw?kN?Bs^??,27,5,5.9394348622,0.9394348622,1.1878869724,6.01259742,Solved
M?AA@AWs@SHgEoBs?,25,5,5.9394276043,0.9394276043,1.1878855209,6.01715921,Solved
M?AAD?w[AWUOFoBs?,27,5,5.9394261118,0.9394261118,1.1878852224,6.04809014,Solved
M?AA@BOLDoBgBoas?,26,5,5.9394175623,0.9394175623,1.1878835125,6.00258297,Solved
M?AA@AW[AwUOaoBs?,26,5,5.9394175289,0.9394175289,1.1878835058,6.00799155,Solved
M?AAD?wT?{Z?icFo?,28,5,5.9394165006,0.9394165006,1.1878833001,6.00554883,Solved
M?AA@aHXAYF_i_ka?,27,5,5.9394164990,0.9394164990,1.1878832998,6.01638370,Solved
M?AAD?wTEoAwicFo?,28,5,5.9394164987,0.9394164987,1.1878832997,6.00185513,Solved
M?ABA_gk?wIcBsiP?,27,5,5.9394164981,0.9394164981,1.1878832996,6.00870994,Solved
M?AAD?sXDo@[e_Fo?,27,5,5.9393891971,0.9393891971,1.1878778394,6.01994682,Solved
M?AAD?wX?uAwy?ec?,27,5,5.9393633443,0.9393633443,1.1878726689,6.03209113,Solved
M?AA@AOq?sEoBwRW?,25,5,5.9393557236,0.9393557236,1.1878711447,6.00148966,Solved
M?AAD?cSFODoCwFo?,25,5,5.9393218391,0.9393218391,1.1878643678,6.00098556,Solved
M?AAD@oKaYJ_Bgm_?,27,5,5.9393201048,0.9393201048,1.1878640210,6.03514809,Solved
M?AA@AW[?UEo^?qP?,26,5,5.9393166278,0.9393166278,1.1878633256,6.02233601,Solved
M?AA@AWs@SIgBseo?,26,5,5.9393164408,0.9393164408,1.1878632882,6.00645827,Solved
M?AAD?oeAg@TFON_?,25,5,5.9392991023,0.9392991023,1.1878598205,6.01743722,Solved
M?AAD@OyBgDoDoJg?,27,5,5.9392788668,0.9392788668,1.1878557734,6.00261514,Solved
M?AA@BOyBWROBocq?,27,5,5.9392730072,0.9392730072,1.1878546014,6.00294104,Solved
M?AAD@oI_w\?FoTS?,27,5,5.9392727104,0.9392727104,1.1878545421,6.05027191,Solved
M?AA@_gsAWCqcgm_?,25,5,5.9392587318,0.9392587318,1.1878517464,6.02566933,Solved
M?AAD?oU@KfOUOBw?,26,5,5.9392481072,0.9392481072,1.1878496214,6.01628760,Solved
M?AA@BOJG{HgUOcd?,27,5,5.9392347153,0.9392347153,1.1878469431,6.00025181,Solved
M?AAD?oq?k@sN?RW?,25,5,5.9392302248,0.9392302248,1.1878460450,6.01993229,Solved
M?AADBOYAiF_JgIi?,28,5,5.9392253320,0.9392253320,1.1878450664,6.00306123,Solved
M?AA@aHwDoAu\Gm_?,29,5,5.9392171908,0.9392171908,1.1878434382,6.00975913,Solved
M?AAD?oX?sF_QWak?,25,5,5.9392112620,0.9392112620,1.1878422524,6.00307094,Solved
M?AAD?Ws?UM_L_Hk?,25,5,5.9392102059,0.9392102059,1.1878420412,6.00370010,Solved
M?AA@BOL?{ROAwqS?,26,5,5.9391991128,0.9391991128,1.1878398226,6.01389236,Solved
M?AA@BOTDoTOAsVO?,26,5,5.9391975389,0.9391975389,1.1878395078,6.00371928,Solved
M?AAD@WKaq\?F_Hi?,27,5,5.9391908064,0.9391908064,1.1878381613,6.00066856,Solved
M?AA@_gsAWCqe_ci?,25,5,5.9391893594,0.9391893594,1.1878378719,6.01564585,Solved
M?AAD@OXDoFOAwFo?,26,5,5.9391772601,0.9391772601,1.1878354520,6.01130713,Solved
M?AA@aHYDSRODgXH?,27,5,5.9391734570,0.9391734570,1.1878346914,6.00475950,Solved
M?AADBOM?[L_UOHg_,26,5,5.9391586704,0.9391586704,1.1878317341,6.02235377,Solved
M?AAD@oI_\Z?FOTO?,26,5,5.9391563535,0.9391563535,1.1878312707,6.00039568,Solved
M?AAD@oTDoTODoBw?,27,5,5.9391541887,0.9391541887,1.1878308377,6.01463254,Solved
M?AAD?sXDSAwA{N_?,28,5,5.9391442610,0.9391442610,1.1878288522,6.01830049,Solved
M?AAD?oT@w@wage_?,25,5,5.9391442382,0.9391442382,1.1878288476,6.02854858,Solved
M?AAD@OLDPDoBw^??,27,5,5.9391349611,0.9391349611,1.1878269922,6.02740128,Solved
M?AEB?WXF_FOBoaS?,26,5,5.9391305595,0.9391305595,1.1878261119,6.03180398,Solved
M?AA@BOTCsF_IguO?,26,5,5.9391303058,0.9391303058,1.1878260612,6.02627971,Solved
M?AA@BOi?[AqTOm_?,25,5,5.9391169406,0.9391169406,1.1878233881,6.02465906,Solved
M?AA@_gsAWCqcim_?,26,5,5.9390837109,0.9390837109,1.1878167422,6.02136587,Solved
M?AAD@oBdSV?ROTQ?,27,5,5.9390607240,0.9390607240,1.1878121448,6.01979305,Solved
M?AAD@OXCoFODoA{?,25,5,5.9390399109,0.9390399109,1.1878079822,6.00349911,Solved
M?AAD@OXDSF_BoJg?,26,5,5.9390375361,0.9390375361,1.1878075072,6.00901613,Solved
M?AAD@OM@KJ_AwiG?,24,5,5.9390339402,0.9390339402,1.1878067880,6.01486355,Solved
M?AA@AW[?]FOqOL__,26,5,5.9390105371,0.9390105371,1.1878021074,6.00285810,Solved
M?AAD@oIag@kEom_?,26,5,5.9390101224,0.9390101224,1.1878020245,6.02192719,Solved
