g6,edges,alpha,theta,gap,ratio,theta_ub,status
L?AA@BOJ?VHgqO,21,5,5.6639826284,0.6639826284,1.1327965257,5.81150402,Solved
L?AA@AOq@gDcRW,20,5,5.6639826277,0.6639826277,1.1327965255,5.80068662,Solved
L?AA@AOq@g@kJG,19,5,5.6639826274,0.6639826274,1.1327965255,5.80286818,Solved
L?AA@r_D_\]?\?,23,5,5.6639609940,0.6639609940,1.1327921988,5.83909138,Solved
L?AEB?Wk?]M_N_,23,5,5.6639146557,0.6639146557,1.1327829311,5.80213759,Solved
L?AADBOY?{F_Bg,22,5,5.6639071439,0.6639071439,1.1327814288,5.83087644,Solved
L?AADBO]?]F_FO,23,5,5.6639060753,0.6639060753,1.1327812151,5.83503653,Solved
L?AEB?o]@w@[Fo,24,5,5.6638826184,0.6638826184,1.1327765237,5.81067250,Solved
L?AA@agT@wFOas,23,5,5.6638314062,0.6638314062,1.1327662812,5.82301241,Solved
L?AA@b_m@sBoBw,24,5,5.6638312966,0.6638312966,1.1327662593,5.83738945,Solved
L?AAD`gDeOdoM_,23,5,5.6636523762,0.6636523762,1.1327304752,5.80267238,Solved
L?AB?qQP\oL_{?,24,5,5.6636318209,0.6636318209,1.1327263642,5.80940994,Solved
L?AEBAo]@w@wEo,24,5,5.6636033734,0.6636033734,1.1327206747,5.81198930,Solved
L?ABCdKedoKg]?,25,5,5.6636030716,0.6636030716,1.1327206143,5.82736570,Solved
L?AA@bGHmoDo^?,24,5,5.6635628134,0.6635628134,1.1327125627,5.81437444,Solved
L?AA@agTCUF_e_,22,5,5.6634604171,0.6634604171,1.1326920834,5.80794081,Solved
L?AAD@WLDoHgk_,22,5,5.6633610301,0.6633610301,1.1326722060,5.83382107,Solved
L?ABAaQJ?ZN?{?,23,5,5.6632320914,0.6632320914,1.1326464183,5.84101499,Solved
L?AA@r_DnOBo\?,24,5,5.6632063324,0.6632063324,1.1326412665,5.84029213,Solved
L?AEB?WLCQn?Hi,23,5,5.6632036280,0.6632036280,1.1326407256,5.80581736,Solved
L?AADb_J?kBS}?,23,5,5.6631262090,0.6631262090,1.1326252418,5.80929828,Solved
