g6,alpha,theta_ub
L?AA@AWTDSBgN?,5,5.77816005
L?AA@AWTDSBg^?,5,5.74835655
L?AA@AWTDSBgeo,5,5.79987207
L?AA@AWTDSBgFo,5,5.75424154
L?AA@AWTDSJg^?,5,5.74421816
L?AA@AWTDSQW^?,5,5.74152405
L?AA@AWTDSPW}?,5,5.75618744
L?AA@AWTDSPW^?,5,5.76179751
L?AA@AWTDSRWVO,5,5.75412229
L?AA@AWTDSAwco,5,5.75615708
L?AA@AWTDSAwFo,5,5.75466209
L?AA@AWTCsL_sO,5,5.75494937
L?AA@AWTCsL_UO,5,5.76471624
L?AA@AWTCsL_FO,5,5.75929353
L?AA@AWTCsL_VO,5,5.74282673
L?AA@AWT@s]?as,5,5.77346515
L?AA@AWT@sZ?as,5,5.74003864
L?AA@AWT@sN?as,5,5.79829227
L?AA@AWT@sJ_eo,5,5.74216104
L?AA@AWT@sF_as,5,5.81053126
L?AA@AWT@sEouO,5,5.75044301
L?AA@AWT@sEoeo,5,5.75049801
L?AA@AWT@sEoas,5,5.79622661
L?AA@AWT@sEoqP,5,5.74473062
L?AA@AWT@sDoAs,5,5.74963665
L?AA@AWT@sDoas,5,5.74456425
L?AA@AWT@sBoas,5,5.74261841
L?AA@AWT@sYGJ`,5,5.75581038
L?AA@AWT@sXG]?,5,5.76207392
L?AA@AWT@sHg]?,5,5.74683500
L?AA@AWT@sHgN?,5,5.75158372
L?AA@AWT@sPWu?,5,5.75102033
L?AA@AWT@sPW}?,5,5.74750278
L?AA@AWT@sPW^?,5,5.77444178
L?AA@AWT@sPWF_,5,5.76424679
L?AA@AWT@sPWN_,5,5.77264008
L?AA@AWT@sPY^?,5,5.74277480
L?AA@AWT@sPYN_,5,5.74214897
L?AA@AWT@k]?ic,5,5.84203819
L?AA@AWT@k\?ac,5,5.80364572
L?AA@AWT@k\?ic,5,5.80870160
L?AA@AWT@kZ?ic,5,5.81036761
L?AA@AWT@kV?qQ,5,5.75856788
L?AA@AWT@k^?ic,5,5.79518037
L?AA@AWT@kL_ic,5,5.74867702
L?AA@AWT@kJ_ic,5,5.78504679
L?AA@AWT@kJ_aU,5,5.74231265
L?AA@AWT@kN_ic,5,5.77049249
L?AA@AWT@kN_qQ,5,5.76204506
L?AA@AWT@kUOas,5,5.74587991
L?AA@AWT@kUOQR,5,5.75844930
L?AA@AWT@kROuO,5,5.77039129
L?AA@AWT@kROqQ,5,5.77069071
L?AA@AWT@kYGm_,5,5.74948524
L?AA@AWT@kYGN_,5,5.76511943
L?AA@AWT@kYGeo,5,5.74099004
L?AA@AWT@kXG]?,5,5.78750025
L?AA@AWT@kXGZ?,5,5.75456975
L?AA@AWT@kXG^?,5,5.77416675
L?AA@AWT@kXGN_,5,5.74817540
L?AA@AWT@kXGac,5,5.75562015
L?AA@AWT@kPYN_,5,5.74277119
L?AA@AWT@[]?ac,5,5.83543447
L?AA@AWT@[]?ic,5,5.83566855
L?AA@AWT@[\?ic,5,5.79418272
L?AA@AWT@[Z?ic,5,5.81046833
L?AA@AWT@[V?sO,5,5.76108312
L?AA@AWT@[N?ic,5,5.82993926
L?AA@AWT@[L_ic,5,5.79556800
L?AA@AWT@[J_ic,5,5.81286327
L?AA@AWT@[F_uO,5,5.76048431
L?AA@AWT@[F_as,5,5.74802773
L?AA@AWT@[N_ic,5,5.79762593
L?AA@AWT@[N_sQ,5,5.75852977
L?AA@AWT@[ROsO,5,5.78120768
L?AA@AWT@[YG]?,5,5.75572014
L?AA@AWT@[YGZ?,5,5.76943072
L?AA@AWT@[YG^?,5,5.76459935
L?AA@AWT@[YGN_,5,5.77123249
L?AA@AWT@[YGiC,5,5.76085490
L?AA@AWT@[YGac,5,5.78438093
L?AA@AWT@[YGic,5,5.74744054
L?AA@AWT@[RGN?,5,5.77588185
L?AA@AWT@[JGN?,5,5.76117702
L?AA@AWT@[TQ}?,5,5.79044186
L?AA@AWT@[TQsQ,5,5.74234135
L?AA@AWT?{]?ic,5,5.81463277
L?AA@AWT?{]?Bp,5,5.75894799
L?AA@AWT?{]?At,5,5.74740260
L?AA@AWT?{\?FO,5,5.74098294
L?AA@AWT?{\?ic,5,5.77813385
L?AA@AWT?{Z?ic,5,5.77670616
L?AA@AWT?{^?ic,5,5.76436838
L?AA@AWT?{L_ic,5,5.76859518
L?AA@AWT?{J_ic,5,5.78069175
L?AA@AWT?{N_ic,5,5.76772074
L?AA@AWT@S}?N_,5,5.82721261
L?AA@AWT@S}?VO,5,5.74134126
L?AA@AWT@S}?as,5,5.76108427
L?AA@AWT@S}?At,5,5.76667634
L?AA@AWT@S|?N_,5,5.79099193
L?AA@AWT@S|?VO,5,5.74700377
L?AA@AWT@Sz?N_,5,5.79547651
L?AA@AWT@Sn?N_,5,5.80202887
L?AA@AWT@Sn?uO,5,5.74839537
L?AA@AWT@Sn?VO,5,5.74539331
L?AA@AWT@Sn?as,5,5.75892980
L?AA@AWT@S~?N_,5,5.77495844
L?AA@AWT@S~?sQ,5,5.75675811
L?AA@AWT@Sl_N_,5,5.74929319
L?AA@AWT@Sl_cR,5,5.75340703
L?AA@AWT@Sj_N_,5,5.78972350
L?AA@AWT@Sn_N_,5,5.76368980
L?AA@AWT@Sn_sQ,5,5.74983101
L?AA@AWT@Seo}?,5,5.80950856
L?AA@AWT@Seo^?,5,5.76747017
L?AA@AWT@SeoaT,5,5.74641902
L?AA@AWT@Sbo}?,5,5.78382439
L?AA@AWT@Sbo^?,5,5.77099847
L?AA@AWT@SboDo,5,5.76431870
L?AA@AWT@SyG}?,5,5.77200402
L?AA@AWT@SyG^?,5,5.75531547
L?AA@AWT@SyGN_,5,5.74721632
L?AA@AWT@SyGeo,5,5.78428868
L?AA@AWT@SyGas,5,5.77822714
L?AA@AWT@SrG}?,5,5.74216224
L?AA@AWT@SjG]?,5,5.77017760
L?AA@AWT@SjG}?,5,5.76512885
L?AA@AWT@SjGeo,5,5.78833166
L?AA@AWT@SjGas,5,5.76493622
L?AA@AWT@Sbgeo,5,5.77213976
L?AA@AWT@SqWsQ,5,5.74489496
L?AA@AWT@SpWuO,5,5.75380486
L?AA@AWT@SpWsQ,5,5.78193925
L?AA@AWT@SbWsQ,5,5.74643301
L?AA@AWTDSfo}?,5,5.75470018
L?AA@AWTDSfo^?,5,5.74571388
L?AAD@OZDoDoJg,5,5.74517779
L?AAD@OZDoBoFo,5,5.74248948
L?AAD@OZDoAwFo,5,5.74955050
L?AAD@OZDoCsJg,5,5.74324055
L?AAD@OZDoCsUP,5,5.74386177
L?AAD@OZBoUOBX,5,5.75005415
L?AAD@OZBoTOJg,5,5.74698262
L?AAD@OZBoFOig,5,5.74128701
L?AAD@OZBoDoig,5,5.74905962
L?AAD@OZBoDoJg,5,5.76545664
L?AAD@OZBoDoBw,5,5.77995509
L?AAD@OZBoBoBw,5,5.76132033
L?AAD@OZBoTCJg,5,5.74244894
L?AAD@OZBoDcig,5,5.75713653
L?AAD@OZBoDcJg,5,5.75682903
L?AAD@OZBoDcBw,5,5.75417721
L?AAD@OZBoPSm_,5,5.74075755
L?AAD@OZBoDSJg,5,5.76155183
L?AAD@OZBoCsJg,5,5.77250728
L?AAD@OZBo@sJg,5,5.76339187
L?AAD@OZBo@kJg,5,5.75320804
L?AAD@OZBo@kcd,5,5.75920461
L?AAD@OZBo@[Fo,5,5.74214249
L?AAD@OZBgUOig,5,5.74159020
L?AAD@OZBgUOBX,5,5.75427719
L?AAD@OZBgTOJg,5,5.74706079
L?AAD@OZBgFOig,5,5.75533717
L?AAD@OZBgTCJg,5,5.75737857
L?AAD@OZBgTCAy,5,5.75507642
L?AAD@OZBgTCCt,5,5.74034922
L?AAD@OZBgDcig,5,5.76953518
L?AAD@OZBgDcJg,5,5.75821638
L?AAD@OZBgDcai,5,5.74477357
L?AAD@OZBgPSm_,5,5.75290105
L?AAD@OZBgPSJg,5,5.74119208
L?AAD@OZBgDSm_,5,5.74278732
